"Anzeigename des Nutzers","Zeitstempel","Altersklasse","Beziehst du aktuell das Jugendticket BW / Würdest du das Jugendticket BW beziehen wenn du berechtigt wärst?","Begründung/Sonstige Tickets?","Beziehst du aktuell das Deutschlandticket (49 € Ticket)?","Begründung","Würdest du ein vollsolidarisches Deutschlandticket unterstützen?","Begründung","Wie stark würde dich das vollsolidarische bundesweite Semesterticket finanziell treffen? (Skala 1 (kein/kleines Problem) - 10 (nicht finanzierbar))","Sonstige Anmerkungen"
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 21:31:48 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","7",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 13:02:50 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich würde sehr viel mehr bezahlen müssen als bisher","4",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 10:36:04 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Viele Studenten sind darauf nicht angewiesen und müssten den Betrag dennoch zahlen. Ich sehe das eher als Ausbeutung der schon „Armen“ Studenten und nicht als einen weiteren Schritt in umweltfreundliche Mobilität. Außerdem sinkt der Preis nur um knapp einen Euro, für den Ich eher mal auf Tomaten in meinem Salat verzichten würde. ","10","Ich sehe in diesem Modell keinen Vorteil für die StudentInnen. "
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 09:58:03 GMT+0:00","≤ 26","Ja","","Nein","Befinde mich im Auslandssemester, aber wenn ich zurück nehme werde ich es nutzen ","Nein","Ich wäre lieber flexibler das Ticket nur für die Monate zu beziehen für die ich es wirklich brauche/möchte ","5",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 09:29:26 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ich würde in dem Fall ja doppelt zahlen müssen, da man beim Jugendticket ebenfalls ein Jahr gebunden ist.","7",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 07:12:00 GMT+0:00","≤ 26","Ja","Is praktisch - kann zu meiner Schwester damit fahren :)","Nein","Ich fahr nicht weiters weg mit ner „bumelbahn“","Nein","Nicht jeder braucht ein Ticket …für mich persönlich ist es wenn es bleibt wie bisher geschickter (und günstiger)","7",""
"Anonymer Benutzer","Sonntag, 24. Dezember 2023 um 00:41:27 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","9",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 23:12:59 GMT+0:00","≤ 26","Ja","","Ja","","Ja","Ist ja günstiger für alle die ÖPNV benutzen ","2",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 22:34:46 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 22:31:23 GMT+0:00","≤ 26","Ja","Seitdem es den einen Soli nicht gibt (den für ab 18 Uhr)","Nein","Jugendticket ist nun Deutschlandticket ","Nein","Vertrag Jugendticket läuft noch das SoSe 2024","9","Es haben wahrscheinlich die Mehrheit das Jugendticket seitdem der Soli abgelaufen ist, d.h. dass bei den meisten die Mindestvertraglaufzeit noch mind 6 Monate läuft. Von dem her würde es für die Meisten, dieses Semester zumindest, nicht finanzierbar sein. Wartet bitte bis nächstes Semester und macht eventuell erneut eine Umfrage. LG"
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 22:15:20 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","1",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 22:04:04 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","9",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 20:59:13 GMT+0:00","> 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 19:54:55 GMT+0:00","≤ 26","Ja","Da es wahrscheinlich billiger wäre, ja","Ja","","Nein","Lohnt sich für mich im Masterstudium nicht mehr und daher würde ich es nicht einsehen, mehr zu zahlen. Bzw. es wäre dann finanziell deutlich schlechter für mich, da ich es auch nicht nutzen kann (da Masterarbeit im Ausland)","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 18:52:22 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 18:11:33 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Ticket wird nur im Wintersemester benötigt","",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 17:17:48 GMT+0:00","> 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 15:55:46 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","4",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 15:43:38 GMT+0:00","> 26","Ja","","Nein","Kein Mehrwert, zu teuer","Ja","Im Gegensatz zum vorherigen Modell (VVS Ticket ab 18 Uhr und an Wochenenden) bietet dieses Modell nun einen wesentlichen Vorteil für alle Studierenden, wohingegen früher kaum jemand davon profitierte und für viele ein zusätzliches Ticket nötig war. Außerdem scheint es aktuell die einzige Möglichkeit gegen Altersdiskriminierung zu sein um ein vergünstigtes Ticket für Studierende auch über 26 Jahre zu sein. ","1",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 15:33:32 GMT+0:00","> 26","Nein","","Ja","","Ja","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 14:42:34 GMT+0:00","≤ 26","Ja","","Nein","Da es für mich unnötig ist. Wenn ich in nördlichen telen Deutschlands reise werd ich mit dem ice fahren und nicht das deutschlandticket nutzen das man nicht bekm ice verwenden kann. ","Nein","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 13:57:58 GMT+0:00","> 26","Ja","","Ja","","Unentschlossen","","5",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 13:08:47 GMT+0:00","≤ 26","Nein","Fahre zu selten mit den Öffis","Nein","Fahre zu selten mit den Öffis","Nein","Fahre nicht so oft mit den Öffis","7",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 12:46:26 GMT+0:00","≤ 26","Nein","Wohne direkt an der Uni, brauche somit nicht mit der Bahn fahren","Nein","Brauche momentan keine Bahnfahrkarte, fahre in den S-Bahnen schwarz.","Nein","Der Semesterbeitrag ist mir zu teuer und es macht in meinen Augen wenig Sinn, da viele gar kein Ticket benötigen wenn sie direkt an der Uni wohnen, es ist somit diesen nicht fair gegenüber.","7",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 12:39:08 GMT+0:00","> 26","Ja","","Nein","","Nein","","9",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 12:28:28 GMT+0:00","> 26","Ja","","Ja","","Ja","","5",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 12:12:12 GMT+0:00","≤ 26","Ja","guter preis","Nein","zu teuer","Nein","Das Jugenticket BW musste man für mindestens 1 Jahr abschließen. Da ich das Ticket erst seit November 2023 habe, läuft dieses auch erst im November 2024 aus. Somit müsste ich mit dem vollsolidarischen Ticket das gleiche Ticket 2 Mal zahlen, was ich mir definitiv als Student nicht leisten kann und sehr unnötig ist. Ich bin mir sicher so wird es auch einigen anderen Studenten gehen.  ","7","Falls mein derzeitiges Abo abgeändert werden könnte, sodass ich nicht doppelt zahlen muss, wäre es mir prinzipiell egal, ob das vollsolidarische Ticket eingeführt wird oder nicht. "
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 11:39:47 GMT+0:00","> 26","Nein","","Ja","","Nein","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 10:50:14 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","5",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 10:23:10 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 10:02:20 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 10:01:24 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 09:34:45 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 09:34:25 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 09:16:04 GMT+0:00","> 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 09:05:08 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","1",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:55:04 GMT+0:00","> 26","Ja","Weil es das billigste DT ist ","Nein","","Nein","Die Kosten dafür sind zu hoch, bei anderen Hochschule ist der Beitrag deutlich kleiner als unser jetziger und sie bekommen trotzdem das DT dazu. ","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:39:04 GMT+0:00","≤ 26","Nein","","Ja","","Ja","","10",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:35:43 GMT+0:00","≤ 26","Ja","","Nein","","Ja","","2",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:15:31 GMT+0:00","≤ 26","Ja","Es ist super, ich find den Preis angemessen und ich brauche nicht unbedingt mehr ","Nein","Ich reise nicht so häufig durch Deutschland, dass ich mir das holen müsste, ich habe ja das BW Ticket. ","Nein","Ich finde es ziemlich schwer zu entscheiden, da es für mich z.B. ziemlich schwierig ist 350€ auf einen Schlag zu zahlen für etwas, das ich so gar nicht nutze oder brauche. Außerdem bin ich z.B. Nächstes Semester im Auslandssemester, würde daher dann doppelt so viel zahlen für etwas, was ich gar nicht nutze, da es dann verpflichtend wäre. Die Idee ist gut, weil man sich dann keinen Sorgen mehr machen müsste noch ein Ticket zahlen zu müssen und die Leute über 27 hätten es auch einfacher. Aber ich würde mich eher dagegen entscheiden denn dann habe ich die Freiheit die Dinge separat zu zahlen und dadurch ist es ""machbarer"" als 350€ auf einen Schlag zu zahlen.","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:04:18 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","8",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 08:03:07 GMT+0:00","≤ 26","Ja","","Nein","Aber ein jugendticket das Deutschlandweit gilt von der ssb (Aber max bis 27)","Ja","","4",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 07:47:40 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","","1",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 05:27:22 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","6",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 00:41:02 GMT+0:00","> 26","Nein","","Nein","","Nein","","7",""
"Anonymer Benutzer","Samstag, 23. Dezember 2023 um 00:05:24 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 23:54:45 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 23:39:12 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Finde blöd, dass man muss, auch wenn man z.B. neben der Uni wohnt (also extra hingeozgen ist oder mit dem auto kommt / kommen muss)","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 23:35:52 GMT+0:00","> 26","Ja","","Ja","","Ja","","1","Es ist momentan unklar, ob und wie man die bestehenden Abos kündigen kann, so dass sich die Geltungszeiträume nicht überschneiden."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 23:24:25 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Sehr viel Geld auf einmal (monatlich ist es einfacher zu stemmen)","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 23:07:30 GMT+0:00","> 26","Ja","","Ja","","Unentschlossen","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:57:52 GMT+0:00","> 26","Ja","","Nein","","Nein","","6",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:49:45 GMT+0:00","≤ 26","Nein","","Ja","","Nein","Ich brauche kein Ticket, müsste es dann teuer bezahlen ohne nutzen davon zu haben","3",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:45:58 GMT+0:00","≤ 26","Nein"," ","Ja","","Ja","Ich brauche es eh, weil ich nicht aus bw komme","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:34:54 GMT+0:00","> 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:34:42 GMT+0:00","> 26","Ja","","Nein","","Nein","","10","Einfach unfair für alle die es nicht brauchen oder schon gekauft haben. Lasst die Entscheidung bitte bei den Studierenden selbst"
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:19:43 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:18:20 GMT+0:00","> 26","Ja","","Ja","Da für Jugendticket zu alt","Nein","Da ich nächstes Semester im Auslandssemester bin und diese Gebühr nicht zahlen möchte, da ich nichts von dem Ticket habe.","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:07:44 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Studierende die das Ticket nicht brauchen, müssten es auch bezahlen.  Auch während eines Auslandssemesters müsste gezahlt werden. ","3","Würde es für aktuell laufende Abos eine Möglichkeit zur vorzeitigen Kündigung geben, oder müsste man es doppelt zahlen?"
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 22:03:51 GMT+0:00","> 26","Ja","","Nein","","Nein","Da ich aktuell das Jugendticket BW habe und meins noch bis zum WiSe 2024/25 läuft, bin ich aktuell dagegen. Sonst werde ich ja gezwungen doppelt zu zahlen...!","8","Für die Zeit, wo ich doppelt zahle müsst ich mir gut überlegen, wie ich über die Runden komme..."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:51:34 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:51:22 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:51:10 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:50:54 GMT+0:00","≤ 26","Nein","","Nein","","Nein","","10",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:50:08 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:49:05 GMT+0:00","≤ 26","Nein","","Nein","","Nein","Für Leute die mit dem Auto zur Uni fahren oder die Leute die extra in Kampus-Nähe gezogen sind um nicht auf die DB angewiesen zu sein um in Fuß- oder Fahrradnähe der Hdm zu wohnen, ist das teurere Ticket einfach nur Schmutz. Man zahlt eine Aufpreis von fast 200€ dafür, dass man die Bahn nicht nutzt. Wären die Züge der DB zuverlässig, pünktlich und hätten allgemein eine gute Anbindung könnte man darüber reden aber da die Bahn so unzuverlässig ist sehe ich es nicht ein so viel Geld für etwas zu zahlen was ich nicht nutze. Ich persönlich brauche 20 Minuten mit dem Auto zur Hdm und mit dem ÖPNV fast 2h. Für mich ist es alles andere als sinnvoll mit der DB zu fahren. Die Studis die dieses Ticket wollen können es sich ja trotzdem separat von dem Semesterbeitrag holen. Für die ü26 jährigen tut es mir leid aber ich persönlich finde es keine gute Idee für alle, auch die die nicht regelmäßig mit der Bahn fahren den Beitrag so zu erhöhen. ","10","Bitte lasst den Beitrag niedrig! "
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:47:06 GMT+0:00","> 26","Ja","30€ gebe ich für Fahrten schnell aus, wäre viel flexibler und müsste nicht ständig über Fahrkartenkauf nachdenken. ","Nein","Lohnt sich nicht","Unentschlossen","Kann für einige zur Belastung werden, vor allem wenn man das Ticket gar nicht braucht.","3",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:42:50 GMT+0:00","≤ 26","Ja","","Ja","","Ja","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:40:49 GMT+0:00","≤ 26","Nein","Ich wohne auf dem Campus und habe ein 10er Ticket","Nein","","Unentschlossen","Ich brauche es nicht, fände es aber cool wenn man die Möglichkeit hätte es sich über die HdM dazuzubuchen und es auf dem Ausweis steht. Für mich war ab 18 uhr fahren und am Wochenende die beste Lösung bisher. ","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:38:49 GMT+0:00","> 26","Ja","","Ja","","Nein","","9",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:35:11 GMT+0:00","≤ 26","Ja","","Ja","Mein Jugenticket wurde automatisch zum Deutschlandticket","Nein","","2",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:29:07 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Für mich würde es vom Preis am Ende gleich raus kommen. Für diejenigen die z. B. mit dem Auto oder mit dem Fahrrad zur Uni kommen wäre dies ein neuer finanzieller Faktor (zusätzlich zum Spritpreis)","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:21:07 GMT+0:00","≤ 26","Ja","","Nein","Jein, denn es ist aktuell im Jugendticket automatisch enthalten","Nein","Ich möchte nicht, dass Studis kosten dafür tragen müssen, wie ich mich entscheide. Der Kauf des Tickets sollte nur am individuellen Bedarf angepasst sein, alles andere ist unfair","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:20:53 GMT+0:00","> 26","Ja","Habe kein Auto ","Nein","Ist mir zu teuer","Ja","Über 27 Jährige verdienen auch kein Geld im Studium und werden dann nicht ausgeschlossen","5","Ich finde es schade, dass das Jugend BW Ticket älter Studenten ausschließt, obwohl man unter den selben Konditionen lebt."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:19:46 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","macht für mich keinen Unterschied","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:10:15 GMT+0:00","≤ 26","Ja","","Nein","","Nein","","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:09:49 GMT+0:00","≤ 26","Ja","","Nein","Nicht, da dass Jugendticket BW aktuell als Deutschlandticket funktioniert","Ja","Günstiger als das JugendTicketBW, günstiges Deutschlandticket, falls das Jugendticket nicht mehr in ganz Deutschland genutzt werden kann","1",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:09:44 GMT+0:00","≤ 26","Ja","","Nein","","Unentschlossen","Kommt drauf an, ob es günstiger ist, als das JugenTicketBW ohne Soli","",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:08:15 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:06:31 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Manche Verträge, die man jetzt schon hat, haben eine gewisse Laufzeit und dann müssen die Leute doppelt und dreifach zahlen und das ist echt mies ","5",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 21:06:28 GMT+0:00","> 26","Ja","Aktueller Studierendenausweis reicht nicht, um in Stuttgart mobil zu sein. Bisher sonst das VVS-Studiticket genutzt, aber das ist halt auch ""nur"" eine Netzkarte für den VVS.","Nein","War im Auslandssemester und plane nicht, in diesem Monat viel zu reisen.","Nein","Unfair für die, die das Ticket nicht benötigen. Ich wäre dafür, das Jugendticket auch für ältere Studierende zugänglich zu machen, aber das fänden wahrscheinlich die meisten cool.","6","Danke für eure Arbeit!"
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:59:19 GMT+0:00","≤ 26","Ja","","Nein","","Nein","Erhöhten Semestergebühren stehen nicht im Verhältnis! ","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:52:15 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:51:14 GMT+0:00","> 26","Nein","","Ja","","Nein","","7",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:49:33 GMT+0:00","≤ 26","Nein","","Ja","","Nein","","3",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:45:52 GMT+0:00","≤ 26","Ja","Ist cool und brauche ich, damit ich zur HdM fahren kann","Nein","Habe das D-Ticket JugendBW","Nein","An sich finde ich die Idee gut, ein D-Ticket in vergünstigter Form anzubieten. Ich finde die aktuelle Planung allerdings sehr unsolidarisch und einen Schlag ins Gesicht für alle, die sich diesen hohen Betrag zu diesem Zeitpunkt im Jahr einfach nicht leisten können. Ich bin grundsätzlich für Solidarität, aber dieser Vorschlag ignoriert einfach, dass einige Leute die finanziellen Mittel nicht haben. Da würde ich mir lieber ein Stadt- oder Landesticket wünschen, was günstiger integriert wird.","6","Ich finde es sehr frech, dass die Preisstabilität des D-Tickets in gewisser Weise von den Studis und ihrem Ticketabsatz abhängig gemacht wird. Als die Sache angekündigt wurde, wurde es natürlich als das große Ding verkauft, ohne dass die Finanzierung überhaupt klar war."
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:45:09 GMT+0:00","≤ 26","Ja","","Ja","","Nein","","8",""
"Anonymer Benutzer","Freitag, 22. Dezember 2023 um 20:39:12 GMT+0:00","> 26","Ja","","Ja","","Nein","","7",""
